  2.4503E-01,  3.8944E+00,  9.6116E+05,  6.5000E+05,  4.3958E+05,  2.1731E+05,  1.0743E+05,  5.9148E+04,  3.2564E+04,  1.9365E+04,  4.6323E+03,  8.3679E+02,  1.5116E+02,  1.8886E+01,  2.3596E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4892E-01,  4.4510E+00,  4.3481E+05,  2.6196E+05,  1.5783E+05,  6.8709E+04,  2.9912E+04,  1.4243E+04,  6.7818E+03,  3.4582E+03,  5.0542E+02,  5.4004E+01,  5.7703E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5215E-01,  5.1346E+00,  4.4107E+05,  1.9204E+05,  8.3618E+04,  1.9653E+04,  4.6192E+03,  1.2709E+03,  3.4968E+02,  9.9384E+01,  3.0247E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5474E-01,  5.9777E+00,  8.8554E+04,  3.6725E+04,  1.5231E+04,  2.8230E+03,  5.2325E+02,  1.0805E+02,  2.2311E+01,  4.6069E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5668E-01,  7.0149E+00,  3.9787E+02,  1.8125E+02,  8.2565E+01,  1.7411E+01,  3.6717E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5801E-01,  8.2845E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5875E-01,  9.8146E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5896E-01,  1.1601E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5867E-01,  1.3566E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5796E-01,  1.5511E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5688E-01,  1.7099E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5550E-01,  1.7940E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5386E-01,  1.7787E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5203E-01,  1.6701E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.5005E-01,  1.5006E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4797E-01,  1.3083E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4581E-01,  1.1215E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4360E-01,  9.5494E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.4135E-01,  8.1322E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3905E-01,  6.9554E+00,  1.4768E+03,  6.7088E+02,  3.0477E+02,  5.4285E+01,  9.6691E+00,  1.7222E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3670E-01,  5.9886E+00,  1.4071E+05,  5.9243E+04,  2.4943E+04,  4.8242E+03,  9.3304E+02,  1.9113E+02,  3.9151E+01,  9.9114E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3428E-01,  5.1970E+00,  6.1712E+05,  2.4580E+05,  9.7904E+04,  2.3243E+04,  5.5182E+03,  1.5079E+03,  4.1206E+02,  1.1119E+02,  2.8564E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.3176E-01,  4.5472E+00,  6.3816E+05,  3.7679E+05,  2.2246E+05,  8.3583E+04,  3.1403E+04,  1.4070E+04,  6.3041E+03,  2.9127E+03,  3.6013E+02,  3.6489E+01,  3.6971E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2912E-01,  4.0115E+00,  1.1307E+06,  7.4584E+05,  4.9199E+05,  2.4207E+05,  1.1910E+05,  6.1507E+04,  3.1763E+04,  1.8121E+04,  4.1961E+03,  6.4629E+02,  9.9543E+01,  2.3614E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2633E-01,  3.5679E+00,  2.3755E+06,  1.5121E+06,  9.6251E+05,  4.9362E+05,  2.5315E+05,  1.4848E+05,  8.7092E+04,  5.3215E+04,  1.4860E+04,  3.1840E+03,  6.8223E+02,  1.0569E+02,  1.6372E+01,  5.5484E+00,  1.8803E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2334E-01,  3.1981E+00,  1.6306E+06,  1.0939E+06,  7.3380E+05,  3.9340E+05,  2.1090E+05,  1.2349E+05,  7.2303E+04,  4.7288E+04,  1.5499E+04,  4.3638E+03,  1.2287E+03,  2.7027E+02,  5.9453E+01,  2.2718E+01,  8.6805E+00,  4.5618E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.2013E-01,  2.8882E+00,  7.4929E+05,  6.2475E+05,  5.2090E+05,  3.5202E+05,  2.3789E+05,  1.7107E+05,  1.2301E+05,  9.1939E+04,  4.1122E+04,  1.4773E+04,  5.3069E+03,  1.7026E+03,  5.4622E+02,  2.5813E+02,  1.2198E+02,  7.2792E+01,  1.9826E+01,  4.1765E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1667E-01,  2.6270E+00,  3.6862E+05,  3.2200E+05,  2.8128E+05,  2.1820E+05,  1.6926E+05,  1.3681E+05,  1.1057E+05,  9.0209E+04,  5.1191E+04,  2.5197E+04,  1.2402E+04,  4.8634E+03,  1.9071E+03,  1.0452E+03,  5.7282E+02,  3.7470E+02,  1.2930E+02,  3.6210E+01,  1.3270E+01,  3.1542E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.1294E-01,  2.4057E+00,  1.7952E+05,  1.6270E+05,  1.4746E+05,  1.2444E+05,  1.0502E+05,  9.1321E+04,  7.9411E+04,  7.0331E+04,  5.0043E+04,  3.1566E+04,  1.9911E+04,  9.6010E+03,  4.6294E+03,  2.8741E+03,  1.7843E+03,  1.2477E+03,  4.8210E+02,  1.6189E+02,  7.2866E+01,  2.4791E+01,  1.1097E+01,  4.9671E+00,  2.7073E+00,  1.4756E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0893E-01,  2.2175E+00,  1.0922E+05,  9.9095E+04,  8.9905E+04,  7.8637E+04,  6.8782E+04,  6.2340E+04,  5.6501E+04,  5.2488E+04,  4.2247E+04,  3.0212E+04,  2.1605E+04,  1.2580E+04,  7.3246E+03,  4.9266E+03,  3.3136E+03,  2.3752E+03,  9.9598E+02,  3.5740E+02,  1.7431E+02,  6.2223E+01,  3.2140E+01,  1.6601E+01,  1.0113E+01,  6.6561E+00,  2.2784E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0464E-01,  2.0571E+00,  5.2384E+04,  5.1197E+04,  5.0036E+04,  4.7819E+04,  4.5700E+04,  4.3748E+04,  4.1880E+04,  4.0146E+04,  3.5382E+04,  2.8692E+04,  2.3266E+04,  1.5253E+04,  9.9995E+03,  6.9699E+03,  4.8581E+03,  3.5802E+03,  1.6146E+03,  7.0278E+02,  3.9251E+02,  1.7186E+02,  1.0620E+02,  6.5623E+01,  4.4230E+01,  3.1937E+01,  1.2894E+01,  3.0140E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  2.0008E-01,  1.9200E+00,  2.1819E+04,  2.1500E+04,  2.1187E+04,  2.0531E+04,  1.9895E+04,  1.9279E+04,  1.8681E+04,  1.8113E+04,  1.6740E+04,  1.4818E+04,  1.3116E+04,  9.9036E+03,  7.4778E+03,  5.6189E+03,  4.2221E+03,  3.3696E+03,  1.9278E+03,  1.0669E+03,  7.0070E+02,  3.9141E+02,  2.6851E+02,  1.8421E+02,  1.3503E+02,  9.8461E+01,  4.0349E+01,  1.1510E+01,  3.2836E+00,  0.0000E+00,  0.0000E+00
  1.9527E-01,  1.8031E+00,  9.5012E+03,  9.4588E+03,  9.4166E+03,  9.3234E+03,  9.2312E+03,  9.1404E+03,  9.0505E+03,  8.9627E+03,  8.7310E+03,  8.3375E+03,  7.9617E+03,  7.0701E+03,  6.2784E+03,  5.4395E+03,  4.7126E+03,  4.0316E+03,  2.5707E+03,  1.5615E+03,  1.1194E+03,  7.5990E+02,  5.8155E+02,  4.4506E+02,  3.4084E+02,  2.6073E+02,  1.2224E+02,  3.3142E+01,  8.9856E+00,  0.0000E+00,  0.0000E+00
  1.9025E-01,  1.7025E+00,  1.0230E+04,  1.0189E+04,  1.0148E+04,  1.0071E+04,  9.9947E+03,  9.9007E+03,  9.8075E+03,  9.7314E+03,  9.4818E+03,  9.1225E+03,  8.7769E+03,  7.9407E+03,  7.1841E+03,  6.3866E+03,  5.6776E+03,  5.0221E+03,  3.4831E+03,  2.2755E+03,  1.7527E+03,  1.3109E+03,  1.1166E+03,  9.5103E+02,  8.1177E+02,  6.7240E+02,  3.6351E+02,  1.2959E+02,  4.6195E+01,  5.8704E+00,  0.0000E+00
  1.8507E-01,  1.6171E+00,  1.0817E+04,  1.0753E+04,  1.0689E+04,  1.0620E+04,  1.0552E+04,  1.0480E+04,  1.0407E+04,  1.0330E+04,  1.0115E+04,  9.9238E+03,  9.7365E+03,  9.1845E+03,  8.6638E+03,  8.0466E+03,  7.4734E+03,  6.8149E+03,  5.3243E+03,  4.0502E+03,  3.3260E+03,  2.7231E+03,  2.3484E+03,  2.0253E+03,  1.7447E+03,  1.4805E+03,  8.9705E+02,  3.9935E+02,  1.7778E+02,  3.7946E+01,  8.0990E+00
  1.7982E-01,  1.5445E+00,  1.2581E+04,  1.2550E+04,  1.2519E+04,  1.2479E+04,  1.2439E+04,  1.2067E+04,  1.1706E+04,  1.1641E+04,  1.1471E+04,  1.1239E+04,  1.1011E+04,  1.0500E+04,  1.0012E+04,  9.5517E+03,  9.1128E+03,  8.6879E+03,  7.3531E+03,  6.1725E+03,  5.2200E+03,  4.4753E+03,  4.0182E+03,  3.6079E+03,  3.2177E+03,  2.8012E+03,  1.8237E+03,  9.1886E+02,  4.6297E+02,  1.3172E+02,  3.7476E+01
  1.7458E-01,  1.4832E+00,  1.4392E+04,  1.4359E+04,  1.4325E+04,  1.4264E+04,  1.4204E+04,  1.4134E+04,  1.4066E+04,  1.4027E+04,  1.3877E+04,  1.3636E+04,  1.3399E+04,  1.2851E+04,  1.2326E+04,  1.1863E+04,  1.1418E+04,  1.1021E+04,  9.9495E+03,  8.5017E+03,  7.4940E+03,  6.5605E+03,  5.9502E+03,  5.3966E+03,  4.9057E+03,  4.3635E+03,  3.0333E+03,  1.6808E+03,  9.3141E+02,  3.2973E+02,  1.1673E+02
  1.6945E-01,  1.4321E+00,  1.6745E+04,  1.6665E+04,  1.6585E+04,  1.6509E+04,  1.6435E+04,  1.6354E+04,  1.6273E+04,  1.6207E+04,  1.5959E+04,  1.5880E+04,  1.5801E+04,  1.5549E+04,  1.5301E+04,  1.4803E+04,  1.4321E+04,  1.3864E+04,  1.2574E+04,  1.1135E+04,  9.9619E+03,  8.5527E+03,  7.6746E+03,  6.8868E+03,  6.1957E+03,  5.5372E+03,  3.9143E+03,  2.2338E+03,  1.2748E+03,  4.7195E+02,  1.7472E+02
  1.6453E-01,  1.3895E+00,  1.9009E+04,  1.8925E+04,  1.8843E+04,  1.8767E+04,  1.8691E+04,  1.8628E+04,  1.8565E+04,  1.8482E+04,  1.8226E+04,  1.8103E+04,  1.7981E+04,  1.7734E+04,  1.7490E+04,  1.7088E+04,  1.6696E+04,  1.6338E+04,  1.5090E+04,  1.3450E+04,  1.2171E+04,  1.0431E+04,  9.2751E+03,  8.2476E+03,  7.3785E+03,  6.6249E+03,  4.7602E+03,  2.7894E+03,  1.6345E+03,  6.2296E+02,  2.3742E+02
  1.5997E-01,  1.3552E+00,  2.0156E+04,  2.0058E+04,  1.9961E+04,  1.9879E+04,  1.9798E+04,  1.9717E+04,  1.9637E+04,  1.9548E+04,  1.9261E+04,  1.9076E+04,  1.8894E+04,  1.8550E+04,  1.8213E+04,  1.7841E+04,  1.7476E+04,  1.6962E+04,  1.5469E+04,  1.3587E+04,  1.2297E+04,  1.0521E+04,  9.2817E+03,  8.1885E+03,  7.3941E+03,  6.6888E+03,  4.9200E+03,  2.9409E+03,  1.7579E+03,  6.6712E+02,  2.5317E+02
  1.5587E-01,  1.3284E+00,  2.2200E+04,  2.2104E+04,  2.2008E+04,  2.1913E+04,  2.1818E+04,  2.1728E+04,  2.1638E+04,  2.1555E+04,  2.1282E+04,  2.1089E+04,  2.0898E+04,  2.0433E+04,  1.9978E+04,  1.9459E+04,  1.8953E+04,  1.8405E+04,  1.6827E+04,  1.4494E+04,  1.3050E+04,  1.1216E+04,  1.0053E+04,  9.0102E+03,  8.1861E+03,  7.4385E+03,  5.5453E+03,  3.3795E+03,  2.0596E+03,  7.8655E+02,  3.0038E+02
  1.5235E-01,  1.3088E+00,  2.5054E+04,  2.4970E+04,  2.4886E+04,  2.4776E+04,  2.4667E+04,  2.4605E+04,  2.4543E+04,  2.4459E+04,  2.4209E+04,  2.4039E+04,  2.3870E+04,  2.3294E+04,  2.2732E+04,  2.2081E+04,  2.1448E+04,  2.0890E+04,  1.9182E+04,  1.5987E+04,  1.4422E+04,  1.2340E+04,  1.1113E+04,  1.0008E+04,  9.1204E+03,  8.2775E+03,  6.1817E+03,  3.8148E+03,  2.3541E+03,  9.2632E+02,  3.6450E+02
  1.4952E-01,  1.2950E+00,  2.6030E+04,  2.5971E+04,  2.5913E+04,  2.5814E+04,  2.5716E+04,  2.5659E+04,  2.5603E+04,  2.5520E+04,  2.5297E+04,  2.5079E+04,  2.4862E+04,  2.4279E+04,  2.3709E+04,  2.3102E+04,  2.2510E+04,  2.2000E+04,  2.0412E+04,  1.6869E+04,  1.5291E+04,  1.3047E+04,  1.1791E+04,  1.0656E+04,  9.7415E+03,  8.8431E+03,  6.6264E+03,  4.1234E+03,  2.5658E+03,  1.0330E+03,  4.1586E+02
  1.4745E-01,  1.2880E+00,  2.6238E+04,  2.6197E+04,  2.6156E+04,  2.6071E+04,  2.5987E+04,  2.5932E+04,  2.5877E+04,  2.5797E+04,  2.5600E+04,  2.5338E+04,  2.5078E+04,  2.4496E+04,  2.3927E+04,  2.3349E+04,  2.2785E+04,  2.2269E+04,  2.0700E+04,  1.7042E+04,  1.5448E+04,  1.3212E+04,  1.1974E+04,  1.0853E+04,  9.9435E+03,  9.0317E+03,  6.7883E+03,  4.2421E+03,  2.6509E+03,  1.0834E+03,  4.4280E+02
  1.4620E-01,  1.2870E+00,  2.7336E+04,  2.7301E+04,  2.7267E+04,  2.7183E+04,  2.7099E+04,  2.7042E+04,  2.6985E+04,  2.6902E+04,  2.6706E+04,  2.6412E+04,  2.6122E+04,  2.5507E+04,  2.4906E+04,  2.4310E+04,  2.3727E+04,  2.3182E+04,  2.1540E+04,  1.7649E+04,  1.5977E+04,  1.3647E+04,  1.2372E+04,  1.1216E+04,  1.0279E+04,  9.3322E+03,  7.0102E+03,  4.3825E+03,  2.7397E+03,  1.1267E+03,  4.6337E+02
  1.4578E-01,  1.2922E+00,  2.9210E+04,  2.9167E+04,  2.9125E+04,  2.9028E+04,  2.8932E+04,  2.8869E+04,  2.8807E+04,  2.8715E+04,  2.8492E+04,  2.8184E+04,  2.7879E+04,  2.7201E+04,  2.6539E+04,  2.5874E+04,  2.5227E+04,  2.4631E+04,  2.2827E+04,  1.8613E+04,  1.6807E+04,  1.4294E+04,  1.2927E+04,  1.1691E+04,  1.0694E+04,  9.6970E+03,  7.2552E+03,  4.5199E+03,  2.8158E+03,  1.1483E+03,  4.6827E+02
  1.4617E-01,  1.3039E+00,  3.1234E+04,  3.1169E+04,  3.1104E+04,  3.0986E+04,  3.0867E+04,  3.0794E+04,  3.0721E+04,  3.0617E+04,  3.0345E+04,  3.0039E+04,  2.9735E+04,  2.8973E+04,  2.8231E+04,  2.7451E+04,  2.6693E+04,  2.6003E+04,  2.3912E+04,  1.9442E+04,  1.7463E+04,  1.4793E+04,  1.3324E+04,  1.2000E+04,  1.0939E+04,  9.9034E+03,  7.3650E+03,  4.5542E+03,  2.8161E+03,  1.1299E+03,  4.5332E+02
  1.4733E-01,  1.3218E+00,  3.0901E+04,  3.0806E+04,  3.0710E+04,  3.0582E+04,  3.0454E+04,  3.0366E+04,  3.0278E+04,  3.0172E+04,  2.9865E+04,  2.9571E+04,  2.9279E+04,  2.8487E+04,  2.7716E+04,  2.6837E+04,  2.5987E+04,  2.5130E+04,  2.2676E+04,  1.8544E+04,  1.6469E+04,  1.4041E+04,  1.2604E+04,  1.1314E+04,  1.0279E+04,  9.3036E+03,  6.8933E+03,  4.2154E+03,  2.5778E+03,  1.0113E+03,  3.9674E+02
  1.4918E-01,  1.3466E+00,  2.9172E+04,  2.9069E+04,  2.8967E+04,  2.8849E+04,  2.8731E+04,  2.8627E+04,  2.8523E+04,  2.8423E+04,  2.8108E+04,  2.7789E+04,  2.7474E+04,  2.6718E+04,  2.5983E+04,  2.5180E+04,  2.4401E+04,  2.3663E+04,  2.1435E+04,  1.8049E+04,  1.5820E+04,  1.3571E+04,  1.2118E+04,  1.0820E+04,  9.7850E+03,  8.8483E+03,  6.5130E+03,  3.9186E+03,  2.3576E+03,  8.9913E+02,  3.4290E+02
  1.5162E-01,  1.3789E+00,  2.9385E+04,  2.9280E+04,  2.9177E+04,  2.9069E+04,  2.8962E+04,  2.8861E+04,  2.8760E+04,  2.8643E+04,  2.8289E+04,  2.7916E+04,  2.7547E+04,  2.6838E+04,  2.6147E+04,  2.5448E+04,  2.4767E+04,  2.3828E+04,  2.1212E+04,  1.8348E+04,  1.6047E+04,  1.3642E+04,  1.2041E+04,  1.0628E+04,  9.5445E+03,  8.5961E+03,  6.2370E+03,  3.6694E+03,  2.1588E+03,  8.1390E+02,  3.0686E+02
